Gene	Mmus_C57-6J_TA_GC_Rep1_M33	Mmus_C57-6J_TA_GC_Rep2_M34	Mmus_C57-6J_TA_GC_Rep3_M35	Mmus_C57-6J_TA_GC_Rep4_M36	Mmus_C57-6J_TA_GC_Rep5_M37	Mmus_C57-6J_TA_GC_Rep6_M38	Mmus_C57-6J_TA_FLT_Rep1_M23	Mmus_C57-6J_TA_FLT_Rep2_M24	Mmus_C57-6J_TA_FLT_Rep3_M25	Mmus_C57-6J_TA_FLT_Rep4_M26	Mmus_C57-6J_TA_FLT_Rep5_M27	Mmus_C57-6J_TA_FLT_Rep6_M28
ENSMUSG00000020381	0.902117493	0.696005371	0.687575207	0.902092248	0.699683461	1.077770008	1.204649212	1.139124568	1.201698982	0.590601892	1.039527577	1.199253103
ENSMUSG00000020385	28.82027989	32.08763225	30.66947306	32.2203818	33.74473379	32.29776351	25.48167707	28.10463073	29.51029358	27.57782722	28.99336914	27.34660485
ENSMUSG00000020386	189.2231007	213.2810306	209.7285323	190.5964034	191.0935488	173.4856345	195.1699035	178.3196803	191.1559738	158.6094192	182.3898384	182.7952457
ENSMUSG00000020387	16.79204666	17.32874912	15.25331315	12.72734497	11.03500773	16.307897	11.02588653	13.3333597	14.7293961	15.94625108	19.84552646	16.97124846
ENSMUSG00000020388	2.421473269	2.212940155	1.899878862	1.764963093	1.879149868	2.544243953	1.740048861	2.483665041	2.472066478	2.313190743	2.003453148	2.162289686
ENSMUSG00000020389	2.95957844	3.087408443	2.207478297	2.627833939	2.418905681	2.508907231	2.191792315	2.334271656	2.609403505	2.493652432	2.400363677	2.3258242
ENSMUSG00000020390	255.2992504	262.0370992	251.8696549	230.4061265	232.7147193	240.749084	271.1129975	257.2554106	264.8544557	233.4846145	263.3784869	245.0837251
ENSMUSG00000020392	16.11150188	15.95458467	15.34378357	14.33542246	13.33396768	15.67183601	16.12891444	15.9103956	14.81523174	12.86199675	16.17882919	15.57211984
ENSMUSG00000020393	93.25046081	80.77231567	77.58743391	89.012972	80.86341718	84.34875438	82.97021444	87.05899566	89.83558249	91.44485958	78.21027477	88.83558214
ENSMUSG00000020395	0.316532454	0.053538875	0.036188169	0.529488928	0.19990956	0.282693773	0.234237347	0.093370866	0.257506925	0.180461689	0.170104513	0.308898527
ENSMUSG00000020396	0.015826623	0	0	0	0.059972868	0.017668361	0.016731239	0.018674173	0	0	0	0.109023009
ENSMUSG00000020397	8.039924319	6.246202051	5.500601658	6.706859754	6.976843658	6.413614964	6.140364731	6.872095754	7.261695279	7.169250742	7.881509081	6.995643102
ENSMUSG00000020399	0.174092849	0.107077749	0.054282253	0.235328412	0.059972868	0.212020329	0.117118673	0.168067559	0.10300277	0.098433649	0.170104513	0.127193511
ENSMUSG00000020400	18.24809595	18.77429874	16.79131032	16.88481359	18.83148059	17.08530488	16.39661427	17.60974537	16.51477744	14.65020804	15.15820212	16.48064492
ENSMUSG00000020402	823.189967	875.431987	848.5039939	817.0210265	836.5615374	820.7130267	833.7843995	833.652442	876.8795757	840.508356	745.0199639	843.3656596
ENSMUSG00000020407	0.110786359	0.071385166	0.036188169	0.137274907	0.179918604	0.141346886	0.083656195	0.074696693	0.154504155	0.164056081	0.189005014	0.127193511
ENSMUSG00000020409	24.61039826	23.28941051	23.03376944	23.35634493	24.04912012	22.66850688	21.93465439	23.62282915	23.86230836	21.01558398	23.0964127	22.74946796
ENSMUSG00000020411	0.047479868	0	0	0.019610701	0	0.017668361	0	0	0.034334257	0.082028041	0.018900501	0.036341003
ENSMUSG00000020412	18.27974919	18.04260078	17.87695539	18.39483757	17.47209558	18.9228144	20.16114305	18.41273482	19.10701382	19.26018392	22.20808914	18.04330805
ENSMUSG00000020413	11.80666052	12.93856139	12.12303655	11.02121398	10.57521574	12.50919943	11.67840486	11.54063906	11.05563064	13.41978743	14.72349059	13.46434166
ENSMUSG00000020415	21.46090035	22.30786447	21.07960833	21.14033572	23.44939143	22.26213459	21.41598598	19.15970175	22.45460384	21.96710925	22.71840267	21.04144081
ENSMUSG00000020420	4.231564105	3.852835888	4.046380095	4.658129817	4.352231039	4.163549218	3.249206623	3.574423501	3.249909062	3.722432479	4.154519211	3.54124905
ENSMUSG00000020422	16.74456679	13.65241306	13.9143509	18.27717337	15.41302711	18.69312571	12.21380451	14.11767497	12.92684762	20.19530358	19.10840691	20.58717827
ENSMUSG00000020423	18.20061608	18.23890999	23.01567536	22.6895811	20.87055811	27.13860216	47.60037509	54.92074351	92.90849846	44.7380933	81.89587254	32.5615388
ENSMUSG00000020424	1.313609682	1.481242201	1.35705633	1.078588557	0.659701549	0.9010864	1.104261777	0.933708662	0.944192058	1.722588851	0.793821059	1.271935109
ENSMUSG00000020427	11.80666052	12.20686344	9.644146986	8.256105136	10.01546898	9.92961876	7.04385164	6.797399061	8.944073854	13.30494817	12.64443543	10.5025499
ENSMUSG00000020430	18.5646284	16.97182329	15.86851202	15.96311064	15.29308137	16.73193766	16.99893887	16.48929497	16.61778021	15.47048844	17.53966529	16.15357589
ENSMUSG00000020431	2.801312214	2.320017905	3.148370686	2.784719547	2.458887593	2.47357051	3.16220418	3.958924728	3.965606642	3.609233783	4.687324346	3.452395297
ENSMUSG00000020432	9.495973606	10.08315474	9.20988896	10.74666417	11.05499869	11.78479664	7.980801026	11.24185229	9.459087704	11.92687709	10.16846975	10.4116974
ENSMUSG00000020434	0.094959736	0.053538875	0.072376338	0.156885608	0.119945736	0.106010165	0.083656195	0.074696693	0.171671283	0.098433649	0.26460702	0.054511505
ENSMUSG00000020435	0.791331134	0.963699745	0.977080558	1.000145753	1.019538758	0.954091482	0.870024431	0.989731182	1.047194827	1.049958919	0.94502507	1.108400595
ENSMUSG00000020436	0.079133113	0.017846292	0.036188169	0.039221402	0	0.053005082	0	0.074696693	0.034334257	0.082028041	0.037801003	0.036341003
ENSMUSG00000020437	1.661795381	0.892314579	1.176115486	1.980680805	1.139484494	1.660825914	1.656392666	1.886091498	1.682378575	1.722588851	1.115129582	1.471810627
ENSMUSG00000020439	53.28823855	45.31173431	44.76476481	47.4382858	46.71886426	49.80710905	48.31981837	51.72745989	50.6773628	56.17280215	54.320041	55.18381325
