Gene	RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8
ENSMUSG00000094613	0.074186162	0.10632362	0.096532553	0.128932219	0.175337951
ENSMUSG00000094622	0.215758089	0.134366475	0.297802926	0.0303707	0.482763826
ENSMUSG00000094627	2.200608865	2.450360725	1.72157764	2.658868868	1.968752965
ENSMUSG00000094628	0.166177004	0.076818815	0.109242673	0.044553244	0.029222992
ENSMUSG00000094634	0.062069089	0.122006354	0.052610241	0.093834004	0.467567871
ENSMUSG00000094638	0.441036736	0	1.176249159	0.417883647	0.341032316
ENSMUSG00000094664	6.907102654	5.995057307	1.011339381	0.371181532	8.178930977
ENSMUSG00000094683	0.055886909	0.045187538	0.028557547	0.119190673	0.159265306
ENSMUSG00000094685	0.798614039	0.575210784	0.469791758	0.694801401	0.809184646
ENSMUSG00000094686	13.99645598	14.72582135	31.18459993	31.17294535	35.38904321
ENSMUSG00000094690	0.197829767	0.279099502	0.176976347	0.27219024	0.116891968
ENSMUSG00000094707	0.01236436	0.039871357	0.160887588	0.057303208	0
ENSMUSG00000094724	94.58253501	84.24233051	95.91369893	92.47921258	92.61876611
ENSMUSG00000094777	1.793574121	0.42795257	0.334485296	1.230729658	3.304535926
ENSMUSG00000094786	9.300842829	9.645811701	5.455939454	5.914120877	10.6219731
ENSMUSG00000094796	0.049457442	0	0	0.171909625	0.204560943
ENSMUSG00000094806	0.024728721	0.146194977	0.032177518	0	0
ENSMUSG00000094840	0.061821802	0.026580905	0.008044379	0.028651604	0
ENSMUSG00000094845	0.098914883	0.013290452	0.008044379	0	0
ENSMUSG00000094870	12.50036837	12.26708764	13.14451597	13.93900543	19.40406663
ENSMUSG00000094910	0.494574416	0.531618099	0.41830773	0.143258021	0.438344879
ENSMUSG00000094930	0	0	0.056310656	0.042977406	0
ENSMUSG00000094932	0.028685316	0	0.001367545	0	0.227354877
ENSMUSG00000094935	0.343605576	0.085457609	0.221542209	0	0.449449616
ENSMUSG00000094936	14.77157773	12.33021729	14.26630468	15.01573272	16.66704121
ENSMUSG00000094942	0.667675462	0.491746742	0.67950873	0.544380479	0.350675903
ENSMUSG00000094945	0.074186162	0.039871357	0.072399415	0	0
ENSMUSG00000094955	0.05489776	0.025384764	0.069262107	0.010457836	0
