ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001018,0.1595297870833332,0.7422346715447471,1.0,Not Significant
ENSMUSG00000001020,-0.2236565252658429,0.7596961273709301,1.0,Not Significant
ENSMUSG00000001025,0.08284007449890218,0.9497218960062421,1.0,Not Significant
ENSMUSG00000001027,-0.920913213759331,0.7583712176550916,1.0,Not Significant
ENSMUSG00000001029,-0.040536194616380694,0.8906992564965137,1.0,Not Significant
ENSMUSG00000001034,0.3269820681721165,0.39602916193763116,1.0,Not Significant
ENSMUSG00000001036,-0.04209274873308022,0.9410197620917281,1.0,Not Significant
ENSMUSG00000001039,0.20490455222464354,0.6124460421716812,1.0,Not Significant
ENSMUSG00000001052,0.10411032413423538,0.7255083341435161,1.0,Not Significant
ENSMUSG00000001053,0.35994088435473737,0.1279741211364415,1.0,Not Significant
ENSMUSG00000001054,0.1692935454871516,0.69341544944308,1.0,Not Significant
ENSMUSG00000001056,0.25594858609034343,0.21825727887300622,1.0,Not Significant
ENSMUSG00000001062,0.13358302717732107,0.6209263112177241,1.0,Not Significant
ENSMUSG00000001065,0.11010486900314698,0.8459478733207807,1.0,Not Significant
ENSMUSG00000001076,-0.009886594547666425,0.9152096420370364,1.0,Not Significant
ENSMUSG00000001082,0.4219796643445566,0.08489735826992136,1.0,Not Significant
ENSMUSG00000001089,-0.10561483107289416,0.7847689449262889,1.0,Not Significant
ENSMUSG00000001095,-0.06957035051920357,0.5628238069835876,1.0,Not Significant
ENSMUSG00000001098,-0.0355991901042394,0.9539898934252724,1.0,Not Significant
ENSMUSG00000001100,0.03476748883661429,0.752911617969967,1.0,Not Significant
ENSMUSG00000001103,0.1492340677161716,0.2566728229326373,1.0,Not Significant
ENSMUSG00000001105,0.10831811442548389,0.3746812144963201,1.0,Not Significant
ENSMUSG00000001119,0.18599531106717082,0.9164329047910937,1.0,Not Significant
ENSMUSG00000001120,0.5428631327864797,0.5162328449041833,1.0,Not Significant
ENSMUSG00000001123,-0.12269328387817424,0.2790656963272022,1.0,Not Significant
ENSMUSG00000001127,0.15393158518665473,0.01046823688194849,1.0,Not Significant
ENSMUSG00000001128,0.596274167544431,0.5352750146235681,1.0,Not Significant
ENSMUSG00000001131,0.12781597317376286,0.7651360064708038,1.0,Not Significant
ENSMUSG00000001134,-0.04630616889031991,0.7460275783782914,1.0,Not Significant
ENSMUSG00000001138,0.42354602243730355,0.01932799132087012,1.0,Not Significant
ENSMUSG00000001143,0.18475553455389626,0.2927591446620903,1.0,Not Significant
ENSMUSG00000001150,-0.007646360556567089,0.9795266369966458,1.0,Not Significant
ENSMUSG00000001151,-0.28143946628320116,0.674122520630204,1.0,Not Significant
ENSMUSG00000001155,0.14638704661653001,0.6791957033307748,1.0,Not Significant
ENSMUSG00000001156,0.21664102638276894,0.5274605033297208,1.0,Not Significant
ENSMUSG00000001157,0.07308617092350422,0.8161168818744566,1.0,Not Significant
ENSMUSG00000001158,-0.05831632284594601,0.8003213862582869,1.0,Not Significant
ENSMUSG00000001166,0.38230781795487456,0.19431029451049822,1.0,Not Significant
ENSMUSG00000001173,0.5573419898021781,0.5579560813351105,1.0,Not Significant
ENSMUSG00000001175,-0.025856690647780844,0.8888542612448787,1.0,Not Significant
ENSMUSG00000001211,0.09481212229739988,0.5417657377142757,1.0,Not Significant
ENSMUSG00000001225,0.004703771306504886,0.9762243520728136,1.0,Not Significant
ENSMUSG00000001227,0.3179956194252833,0.21959774988311587,1.0,Not Significant
ENSMUSG00000001228,-0.14789018855272973,0.6295487923896675,1.0,Not Significant
ENSMUSG00000001229,-0.1988249210633546,0.1577672425456295,1.0,Not Significant
ENSMUSG00000001240,0.1425488520756426,0.5275901959863254,1.0,Not Significant
ENSMUSG00000001247,0.012607296679902902,0.7599555224945338,1.0,Not Significant
ENSMUSG00000001248,0.1898349846549392,0.03666458014644844,1.0,Not Significant
ENSMUSG00000001249,0.19508630560789264,0.4303175499859052,1.0,Not Significant
ENSMUSG00000001270,0.285337579170609,0.2686040038419924,1.0,Not Significant
ENSMUSG00000001280,-0.07490838709334646,0.8303360733907132,1.0,Not Significant
ENSMUSG00000001281,0.11374625918682701,0.4033510474566886,1.0,Not Significant
ENSMUSG00000001285,0.2846253077398897,0.1353606562505996,1.0,Not Significant
ENSMUSG00000001288,0.10177264320763957,0.7577239546838195,1.0,Not Significant
ENSMUSG00000001289,0.08812157764769246,0.6696210824975197,1.0,Not Significant
ENSMUSG00000001300,-0.3488631207633599,0.5581971109079881,1.0,Not Significant
ENSMUSG00000001305,0.2383546190776813,0.3990265437646835,1.0,Not Significant
ENSMUSG00000001313,-0.5012235404382275,0.055172684207091996,1.0,Not Significant
ENSMUSG00000001323,-0.21044318862269673,0.21175128456318612,1.0,Not Significant
ENSMUSG00000001333,-0.8747128406186954,0.5393672940926921,1.0,Not Significant
ENSMUSG00000001334,-0.6869570829966725,0.7485076737418714,1.0,Not Significant
ENSMUSG00000001348,0.2071437008806125,0.5761127098083795,1.0,Not Significant
ENSMUSG00000001349,-0.43044443458290843,0.6387299155484106,1.0,Not Significant
ENSMUSG00000001366,0.08991259621188874,0.14982481441354772,1.0,Not Significant
ENSMUSG00000001376,0.09413940378529917,0.6067403290158,1.0,Not Significant
ENSMUSG00000001380,0.18465815729521307,0.4003918224082704,1.0,Not Significant
ENSMUSG00000001383,0.24637887821623394,0.18722371157074755,1.0,Not Significant
ENSMUSG00000001403,-0.3616977315835741,0.07139490325056892,1.0,Not Significant
ENSMUSG00000001415,-0.08391562177406975,0.4493124184859889,1.0,Not Significant
ENSMUSG00000001416,0.18992577412404366,0.43615878122884866,1.0,Not Significant
ENSMUSG00000001418,0.358572524353435,0.0918075326012901,1.0,Not Significant
ENSMUSG00000001419,-0.07110502390989915,0.8707098650662364,1.0,Not Significant
ENSMUSG00000001420,0.11046527517196769,0.5672835673171197,1.0,Not Significant
ENSMUSG00000001424,-0.0781957239611053,0.5632178546001483,1.0,Not Significant
ENSMUSG00000001435,0.12171810127027527,0.07245687766824536,1.0,Not Significant
ENSMUSG00000001436,0.25932941071063365,0.5705874874462713,1.0,Not Significant
ENSMUSG00000001440,-0.11445948714732523,0.7683437427043415,1.0,Not Significant
ENSMUSG00000001441,0.0826005454530776,0.7903793437919526,1.0,Not Significant
ENSMUSG00000001444,0.1961923177386764,0.134281430693626,1.0,Not Significant
ENSMUSG00000001445,0.21333633907095084,0.15486441225751088,1.0,Not Significant
ENSMUSG00000001467,-0.22225362643107438,0.8345481033402538,1.0,Not Significant
ENSMUSG00000001472,0.16663640735096052,0.2576977291251908,1.0,Not Significant
ENSMUSG00000001473,0.178372530491683,0.8505528136518722,1.0,Not Significant
ENSMUSG00000001482,0.15449093931798252,0.0842493478084672,1.0,Not Significant
ENSMUSG00000001493,-0.24115991937783976,0.49018643120574934,1.0,Not Significant
ENSMUSG00000001497,-0.3894355336742032,0.42264973081037427,1.0,Not Significant
ENSMUSG00000001506,-0.23760580060033787,0.8469942411695016,1.0,Not Significant
