ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000000805,0.25349414178636565,0.3675948324011551,1.0,Not Significant
ENSMUSG00000000811,0.22565952114482535,0.026334228000248774,1.0,Not Significant
ENSMUSG00000000817,-0.27222823174040234,0.09701783834831988,1.0,Not Significant
ENSMUSG00000000823,0.3792454741777682,0.24572755503716773,1.0,Not Significant
ENSMUSG00000000826,0.08621160177988951,0.544903066587288,1.0,Not Significant
ENSMUSG00000000827,0.00032977047457816155,0.9973519723123343,1.0,Not Significant
ENSMUSG00000000838,-0.042287850783679914,0.8106249829733683,1.0,Not Significant
ENSMUSG00000000861,-0.3949172071347631,0.2654046149482404,1.0,Not Significant
ENSMUSG00000000869,0.05861771040831071,0.2393349011781398,1.0,Not Significant
ENSMUSG00000000876,0.08050011578138871,0.7308328147511474,1.0,Not Significant
ENSMUSG00000000881,0.05270693519500291,0.5406331091187915,1.0,Not Significant
ENSMUSG00000000884,0.04860342017882413,0.7778774944068203,1.0,Not Significant
ENSMUSG00000000889,0.07014539405685927,0.17762362767011938,1.0,Not Significant
ENSMUSG00000000901,0.506800332783401,0.17134883459927447,1.0,Not Significant
ENSMUSG00000000902,0.08302407573293102,0.7078172025737118,1.0,Not Significant
ENSMUSG00000000903,0.2819867628381938,0.3817074701821992,1.0,Not Significant
ENSMUSG00000000915,0.08967307475333275,0.839961443431032,1.0,Not Significant
ENSMUSG00000000916,-0.010852009710073496,0.9623353902193984,1.0,Not Significant
ENSMUSG00000000934,0.0646117209779351,0.7344675799751201,1.0,Not Significant
ENSMUSG00000000942,0.16029688890558558,0.13986752223728563,1.0,Not Significant
ENSMUSG00000000948,0.14678831978168239,0.3398224980001834,1.0,Not Significant
ENSMUSG00000000957,0.09532512956948302,0.7296165673428514,1.0,Not Significant
ENSMUSG00000000958,0.09477344164946011,0.7654636458554415,1.0,Not Significant
ENSMUSG00000000959,0.22201445543187504,0.3483452226581504,1.0,Not Significant
ENSMUSG00000000976,0.0546296822992991,0.7822639326166037,1.0,Not Significant
ENSMUSG00000000982,0.12489982551011825,0.3696846476969884,1.0,Not Significant
ENSMUSG00000000983,-0.053441314177559734,0.30463253210658287,1.0,Not Significant
ENSMUSG00000001014,0.1359124243636698,0.12528581339818556,1.0,Not Significant
ENSMUSG00000001016,-0.02399353398892856,0.7221779677226134,1.0,Not Significant
ENSMUSG00000001017,0.030512632772365933,0.5567711904276023,1.0,Not Significant
ENSMUSG00000001018,0.14168524084005885,0.08607438574219249,1.0,Not Significant
ENSMUSG00000001020,-0.42616519499228733,0.06513294592650049,1.0,Not Significant
ENSMUSG00000001021,0.10950055275448892,0.01971300578837788,1.0,Not Significant
ENSMUSG00000001023,-0.003474899697665951,0.758994684526193,1.0,Not Significant
ENSMUSG00000001025,-0.014597609474678919,0.9478106962808343,1.0,Not Significant
ENSMUSG00000001027,0.11156843768299574,0.6460532986851171,1.0,Not Significant
ENSMUSG00000001029,0.09257598370965958,0.8422039348006707,1.0,Not Significant
ENSMUSG00000001034,0.14650059099916612,0.6796119131453888,1.0,Not Significant
ENSMUSG00000001036,0.2515412057213613,0.2883806964832736,1.0,Not Significant
